,tweets
473,"['OkaAditya', 'in', datetime.datetime(2019, 11, 6, 1, 26, 28), 0, '@mrtjakarta This rule is a big deals for Indonesian behaviour. Lebih baik dibalikin lagi pake sticker yg ini bro! @DKIJakarta @trotoarian @RadioElshinta https://t.co/BVBC6aeo3x', 'Jakarta, Indonesia']"
474,"['k_intankusumah', 'in', datetime.datetime(2019, 11, 6, 1, 21, 59), 0, 'Min @mrtjakarta klo pke flazz naik dr dukuh atas mau ke halte senayan,saldo minimal mesti ada berapa?', '']"
475,"['vayolic', 'in', datetime.datetime(2019, 11, 6, 1, 18, 50), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Indonesia']"
476,"['hazil_d', 'in', datetime.datetime(2019, 11, 6, 1, 2, 55), 0, '@mrtjakarta @orrens Yup, MRT emang bau pesing, ga tau apa emang ada yg pipis di gerbong atau dr bau AC.\nEmang baunya ga keras tp kerasa bau ga enak', 'ÜT: -6.18073,106.821347']"
477,"['jtmkcjjmt', 'in', datetime.datetime(2019, 11, 6, 0, 44, 3), 0, '@kangfckry @AnkerTwiter Kalo kereta @CommuterLine sm @mrtjakarta dipasang iklan produk2 @Mattel sprt @Barbie, @hotwheels_indo, @ThomasFriends, Cars, &amp; kartu Uno, pasti KCI sm MRTJ bakalan untung gede bgt, &amp; iklan @Barbie akan dipasang di #KeretaKhususWanita', 'Cipondoh, Indonesia']"
478,"['vinca_rudang', 'in', datetime.datetime(2019, 11, 6, 0, 35, 18), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Indonesia']"
479,"['Irtosomonasky', 'in', datetime.datetime(2019, 11, 6, 0, 17, 37), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta - Salatiga']"
480,"['OkaAditya', 'in', datetime.datetime(2019, 11, 6, 0, 14, 19), 0, '@mrtjakarta Kenapa jadi kaya gini stickernya bro?? Ini mah sticker di mall.. Balikin lagi pake yg lama bro! @DKIJakarta @RadioElshinta @trotoarian https://t.co/LhoruR6roy', 'Jakarta, Indonesia']"
481,"['orrens', 'in', datetime.datetime(2019, 11, 6, 0, 10, 52), 0, 'Miin @mrtjakarta keretanya bau pesing lagi 😞😞😞 K1 18 36 jam 7.10 dukuh atas menuju HI. Coba bikin survey deh, pasti byk yg bilang bau 😞', 'ÜT: -6.251799,106.716917']"
482,"['andrecht', 'in', datetime.datetime(2019, 11, 5, 23, 54, 24), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '/home/andri']"
483,"['wijanarkos', 'in', datetime.datetime(2019, 11, 5, 23, 40, 8), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Indonesia']"
484,"['cipciww', 'in', datetime.datetime(2019, 11, 5, 22, 57, 2), 9, 'RT @mrtjakarta: Halo teman MRT,\n\nJumat, tanggal 1 November 2019, di Terowongan Kendal kita akan ada sharing session lho. Kita akan ngobroli…', 'negara +62']"
485,"['cipciww', 'in', datetime.datetime(2019, 11, 5, 22, 56, 54), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', 'negara +62']"
486,"['cipciww', 'in', datetime.datetime(2019, 11, 5, 22, 55, 37), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'negara +62']"
487,"['ImmanuelLTobi10', 'in', datetime.datetime(2019, 11, 5, 22, 41, 25), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Tangerang, Banten']"
488,"['cobain_aris', 'in', datetime.datetime(2019, 11, 5, 21, 59, 14), 0, '@PT_TransJakarta @mrtjakarta Min klo di halte biSa ga beli tiket sekali jalan atau beli kartu?berapa harga kartunya?', 'Cibuaya, West Java']"
489,"['PT_TransJakarta', 'in', datetime.datetime(2019, 11, 5, 21, 50, 53), 0, '@cobain_aris @mrtjakarta Dari Halte Pasar Induk naik ke arah Kp.Rambutan turun di Halte Flyover Raya Bogor transit ke arah Ciputat (Rute S22). Terima kasih~RSN', 'Jakarta']"
490,"['cobain_aris', 'in', datetime.datetime(2019, 11, 5, 21, 46, 25), 0, '@PT_TransJakarta @mrtjakarta Min klo dari kampung tengah kramat jati mau ke ciputat lewat mana?apa bisa lewat bus stop', 'Cibuaya, West Java']"
491,"['iraolaas', 'in', datetime.datetime(2019, 11, 5, 21, 13, 57), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
492,"['BeritaJakarta', 'in', datetime.datetime(2019, 11, 5, 19, 2), 0, 'PT MRT Bakal Kembangkan Sistem Pembayaran QR Code \n@mrtjakarta\n#BeritaJakarta\n#BacadiBJ\n\nhttps://t.co/xqGttqv2na', 'Balaikota DKI Jakarta']"
493,"['Vrlstlust', 'in', datetime.datetime(2019, 11, 5, 17, 16, 7), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jks on sat sun - Balaraja']"
494,"['ZikriFadlani', 'in', datetime.datetime(2019, 11, 5, 17, 4, 41), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'South Jakarta, Indonesia']"
495,"['tehichioca', 'in', datetime.datetime(2019, 11, 5, 16, 24, 57), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta, Indonesia']"
496,"['dniars', 'in', datetime.datetime(2019, 11, 5, 16, 22, 1), 0, 'coba semua public transportation dibikin giniii~ \n@tokopedia\n@mrtjakarta https://t.co/0fARWCdhVN', '']"
497,"['ysugond', 'in', datetime.datetime(2019, 11, 5, 16, 14, 52), 181, 'RT @mrtjakarta: Fase 2 MRT Jakarta. Selengkapnya : https://t.co/BOvVtqvSA0\n\n#MRTJakarta\n#UbahJakarta https://t.co/TgA9qr5D2Z', '']"
498,"['nabilajafani', 'in', datetime.datetime(2019, 11, 5, 16, 7, 15), 0, '@mahdizatw @mrtjakarta Ew. Kok bisa bau gitu ka?', '']"
499,"['mwhhdh', 'in', datetime.datetime(2019, 11, 5, 16, 5, 37), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'East Jakarta']"
500,"['marinafariza', 'in', datetime.datetime(2019, 11, 5, 15, 54, 53), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Ravenclaw common Room']"
501,"['christ_chio', 'in', datetime.datetime(2019, 11, 5, 15, 49, 15), 0, 'Dari pada jalan kaki mending naik @mrtjakarta murah, dingin, gak kehujanan, gak macet, mumpung lagi sepi jadi dapat tempat duduk... @ Project Mrt Depo Lebak Bulus https://t.co/03WzCmRwPH', 'Istana Merdeka']"
502,"['AqilRahmatullah', 'in', datetime.datetime(2019, 11, 5, 15, 45, 35), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
503,"['BuswayFansC', 'in', datetime.datetime(2019, 11, 5, 15, 18), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Capital Region']"
504,"['esr_kth', 'in', datetime.datetime(2019, 11, 5, 15, 17, 28), 4, 'RT @jiminduality: Kenalin aku Amal. Buzzer @BTS_twt buat @tokopedia via @mrtjakarta', 'Kalimantan Barat, Indonesia']"
505,"['Heythomsrafell', 'in', datetime.datetime(2019, 11, 5, 15, 9, 44), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Utara, DKI Jakarta']"
506,"['akang_fadli', 'in', datetime.datetime(2019, 11, 5, 15, 3, 56), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Buitenzorg']"
507,"['dhinirmala', 'in', datetime.datetime(2019, 11, 5, 15, 1, 41), 0, 'Tak apalah kaya gini aja udah senang 😍 Thank you @tokopedia @mrtjakarta BORAHAE 💜\nSemoga bisa foto bareng langsung sm kalian @bts_twt😊😊 https://t.co/t1TJNaatpo', 'BTS WORLD']"
508,"['FirdsAmri', 'in', datetime.datetime(2019, 11, 5, 14, 59, 26), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Seat with clearest view']"
509,"['rianlagee', 'in', datetime.datetime(2019, 11, 5, 14, 57, 18), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
510,"['VerraNizardo', 'in', datetime.datetime(2019, 11, 5, 14, 39, 57), 0, '@PT_TransJakarta @mrtjakarta Tolong buat rute Feeder dari Bintaro Sektor 1 (tempat ngetemnya Bus @PT_TransJakarta 8E) ke stasiun @mrtjakarta Lebak Bulus dong...', 'Indonesia']"
511,"['tashanabilla', 'in', datetime.datetime(2019, 11, 5, 14, 34, 49), 0, '@M4QIN @PT_TransJakarta @mrtjakarta Oh saya kurang info berarti. Thanks yaa!', '+62']"
512,"['didpramana', 'in', datetime.datetime(2019, 11, 5, 14, 28, 41), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Ciputat, Tangerang Selatan']"
513,"['dhryu', 'in', datetime.datetime(2019, 11, 5, 14, 26, 43), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'J - Town']"
514,"['ariseptianfauzi', 'in', datetime.datetime(2019, 11, 5, 14, 25, 30), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Kuningan, Jawa Barat']"
515,"['argotamtomo', 'in', datetime.datetime(2019, 11, 5, 14, 20, 52), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta, Indonesia']"
516,"['Fbrirviansyah', 'in', datetime.datetime(2019, 11, 5, 14, 19, 43), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
517,"['IrfanBraga', 'in', datetime.datetime(2019, 11, 5, 14, 19, 3), 0, '@PT_TransJakarta @mrtjakarta kok ada rute 7H?', 'Gibraltar']"
518,"['RizaFirli', 'in', datetime.datetime(2019, 11, 5, 13, 58, 51), 0, 'Reza ankatama @radhini_ abigail potkesss.. _rapot!! Terimakasih juga buat @mrtjakarta yg udah anterin dari kantor ke blok m cuma 10 mnt karena ke BMan malam ini ujan2.. @ Blok M Plaza https://t.co/0eiby3lCvU', 'Jakarta Selatan, DKI Jakarta']"
519,"['andandika', 'in', datetime.datetime(2019, 11, 5, 13, 58, 5), 1, 'RT @yogicerdito: Kejadian unique di @mrtjakarta, masuk kereta, ada kursi kosong cm ada kantong kresek atasnya. Pas kantongnya mau gw geser…', 'www.andandika.com']"
520,"['mahdizatw', 'in', datetime.datetime(2019, 11, 5, 13, 52, 2), 0, '@mrtjakarta Keberangkatan pukul 18.07 dari stasiun Lebak Bulus Grab, train set K1 1 18 50, pembuatan 2018. Thanks👍', 'Bogor, West Java']"
521,"['arielutte11', 'in', datetime.datetime(2019, 11, 5, 13, 49, 10), 0, '@PT_TransJakarta @mrtjakarta Akhirnya ada jg rute ini. Maju terus @PT_TransJakarta #appreciate #apresiasi #transjakarta', 'Jakarta, Indonesia']"
522,"['nurulteukie1004', 'in', datetime.datetime(2019, 11, 5, 13, 44, 3), 0, '@PT_TransJakarta @mrtjakarta Mau nanya  kalau  bunderan  senayan -senen  itu  kalau  keluar  dari  koridor  haltenya  tetap  sma  3.500  atau berapa  yah.jam  operasionalnya  dari  jam berapa  aja,setiap  hari  ada  enga  yah.terima  kasih  sebelumnya', '']"
523,"['Dany_Rahmana', 'in', datetime.datetime(2019, 11, 5, 13, 41, 21), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '+19 m']"
524,"['hendoy', 'in', datetime.datetime(2019, 11, 5, 13, 31, 33), 0, 'Bapak @aniesbaswedan coba deh jalan di Sudirman mau nyebrang jalan ke halte @PT_TransJakarta atau @mrtjakarta pas siang hari. Masya Allah panasnya! Kalau hujan kami kehujanan dong Pak. Ayo Pak coba lah sekali2, saya temani juga gpp. https://t.co/DM26wx5E7W', 'Depok']"
525,"['LeandroKh', 'in', datetime.datetime(2019, 11, 5, 13, 26, 18), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'ÜT: -6.180538,106.821446']"
526,"['bobbyhrdi', 'in', datetime.datetime(2019, 11, 5, 13, 23, 52), 0, '@mrtjakarta malam min, saran lagi agar diberi rambu kuning di tikungan pasar jumat untuk mengakomodir pejalan kaki ya g menyebrang terutama dari arah stasiun mrt ke park&amp;ride. Thank you', 'University of Indonesia']"
527,"['TfJakarta', 'in', datetime.datetime(2019, 11, 5, 13, 17, 29), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Capital Region']"
528,"['masjaebeom', 'in', datetime.datetime(2019, 11, 5, 13, 9, 29), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '+62 People']"
529,"['Onggo98070888', 'in', datetime.datetime(2019, 11, 5, 13, 8, 33), 0, '@BuswayFansC @PT_TransJakarta @mrtjakarta Penambahan rute alangkah baiknya dibarengi dengan penmbahan armada', '']"
530,"['Aprizya', 'in', datetime.datetime(2019, 11, 5, 13, 5, 24), 0, '@yogicerdito @mrtjakarta Ketat bos!', 'Indonesia']"
531,"['agiest_33', 'in', datetime.datetime(2019, 11, 5, 13, 4, 38), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta']"
532,"['AhmadRamzio', 'in', datetime.datetime(2019, 11, 5, 13, 0, 51), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', ""deep in 'ur heart""]"
533,"['gmrzki', 'in', datetime.datetime(2019, 11, 5, 13, 0, 26), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Bandung, Indonesia']"
534,"['alhamdekurnia', 'in', datetime.datetime(2019, 11, 5, 12, 52, 7), 0, '@PT_TransJakarta @mrtjakarta Ga sempat liat lah bos..emang ga bisa di cari ya? Bukannya tiap bis ada cctv/gps/apalah yg bisa ngbantu bila ada aduan kaya gini..lagian istri saya trpaksa akhirnya udah naik angkot', '']"
535,"['PT_TransJakarta', 'in', datetime.datetime(2019, 11, 5, 12, 51, 46), 0, '@Dimas80208467 @mrtjakarta Selamat Malam. Mohon maaf atas ketidaknyamanannya. Mohon info menunggu rute apa. Terima kasih :) -NV', 'Jakarta']"
536,"['PT_TransJakarta', 'in', datetime.datetime(2019, 11, 5, 12, 46, 29), 0, '@alhamdekurnia @mrtjakarta Selamat MAlam. Mohon maaf atas ketidaknyamanannya. Mohon info nomor body bus. Terima kasih :) -NV', 'Jakarta']"
537,"['eru_joo_han', 'in', datetime.datetime(2019, 11, 5, 12, 45, 37), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'ÜT: -6.2753554,106.8285107']"
538,"['nathatake', 'in', datetime.datetime(2019, 11, 5, 12, 34, 1), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Capital Region, Indone']"
539,"['tasikwulan', 'in', datetime.datetime(2019, 11, 5, 12, 26, 16), 0, '@mrtjakarta mohon pencerahannya apakah membawa payung basah karena hujan kedalam kereta itu dilarang? Karena barusan saya kena tegur satpam pas saya mau lipat payungnya. https://t.co/BgRlxQc2Hk', 'Temporarily World']"
540,"['alhamdekurnia', 'in', datetime.datetime(2019, 11, 5, 12, 24, 22), 0, '@PT_TransJakarta @mrtjakarta Gan..barusan istri saya nunggu S41 di lbk bulus mau ke pd cabe..2 bis lewat status ""tak melayani""..pdhal banyak yg nunggu infonya..gimana nih, koq bisa begitu?', '']"
541,"['AdeCancer9', 'in', datetime.datetime(2019, 11, 5, 12, 15, 26), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Cijantung,JAKARTA']"
542,"['amalia__dian', 'in', datetime.datetime(2019, 11, 5, 12, 11, 21), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Depok']"
543,"['Dimas80208467', 'in', datetime.datetime(2019, 11, 5, 12, 6, 40), 0, '@PT_TransJakarta @mrtjakarta Permisi ini kok di dukuh atas 2 buswaynya gak ada? Kita disini ngantri sampel keujanan loh. Gimana si kok pelayanan nya begini, padahal pengguna busway banyak', '']"
544,"['irahalulus15', 'in', datetime.datetime(2019, 11, 5, 12, 6, 8), 0, '@PT_TransJakarta @mrtjakarta kenapa tidak sekalian berhenti Deptan? tks', '']"
545,"['krisna_dv', 'in', datetime.datetime(2019, 11, 5, 12, 4, 51), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
546,"['iniyuni_', 'in', datetime.datetime(2019, 11, 5, 12, 3, 18), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
547,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 5, 11, 55, 57), 0, '@winnerlegs @CommuterLine @mrtjakarta Kalau orang Bogor, turun Tanjung Barat trs naik D21 turun pintu belakang Fatmawati, sambung ojol (kadang ga disaranin karena.... macet)', '']"
548,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 5, 11, 54, 51), 0, '@winnerlegs @CommuterLine Sudirman , sambung @mrtjakarta sampai Haji Nawi sambung ojol, kalo sabar turun Blok A trs naik MR5 ke Radio Dalam', '']"
549,"['haris_zr', 'in', datetime.datetime(2019, 11, 5, 11, 54, 43), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Jakarta Barat, DKI Jakarta']"
550,"['meenachan', 'in', datetime.datetime(2019, 11, 5, 11, 45, 45), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'A phone call away']"
551,"['yogicerdito', 'in', datetime.datetime(2019, 11, 5, 11, 41, 45), 0, '@Aprizya @mrtjakarta Udah gila kayak Damri Nangor-DU zaman kt 🤣', 'Jakarta, Indonesia']"
552,"['Aprizya', 'in', datetime.datetime(2019, 11, 5, 11, 40, 32), 0, '@yogicerdito @mrtjakarta Jiahahahaa di-tek-in yaa', 'Indonesia']"
553,"['Jalur5Info', 'in', datetime.datetime(2019, 11, 5, 11, 40, 31), 0, '@cakteguh @PT_TransJakarta @mrtjakarta Ada D21 sambung Jak 27, udah sampai ciganjur', '']"
554,"['fransiskamelati', 'in', datetime.datetime(2019, 11, 5, 11, 39, 11), 5, 'RT @BuswayFansC: Rute Baru @PT_TransJakarta Terintegrasi @mrtjakarta\n\n6R| RAGUNAN - ST. FATMAWATI via TB SIMATUPANG - ST. LEBAK BULUS\n\nEfek…', 'Jakarta Selatan, DKI Jakarta']"
555,"['yogicerdito', 'in', datetime.datetime(2019, 11, 5, 11, 38, 53), 1, 'Kejadian unique di @mrtjakarta, masuk kereta, ada kursi kosong cm ada kantong kresek atasnya. Pas kantongnya mau gw geser maksudnya mau duduk, “maaf mas ini (seatnya) utk tmn saya” 🤦🏻\u200d♂️', 'Jakarta, Indonesia']"
556,"['saelowed', 'in', datetime.datetime(2019, 11, 5, 11, 38, 1), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Tangerang']"
557,"['Fakhribfk', 'in', datetime.datetime(2019, 11, 5, 11, 26, 37), 0, '@PT_TransJakarta @pandji @mrtjakarta Rute serpong-ciputat dong', '']"
558,"['13dokyungsoo', 'in', datetime.datetime(2019, 11, 5, 11, 14, 18), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Olympus']"
559,"['PT_TransJakarta', 'in', datetime.datetime(2019, 11, 5, 11, 3, 49), 0, '@zaratularsson @mrtjakarta Mohon info untuk tujuan arah mana ? Terima kasih -th.', 'Jakarta']"
560,"['zaratularsson', 'in', datetime.datetime(2019, 11, 5, 11, 0, 12), 0, '@PT_TransJakarta @mrtjakarta Min, dihalte pluit udh rada rame nih..\nBusnya kapan dtng ya?!', 'slipi never sleep']"
561,"['qibybo', 'in', datetime.datetime(2019, 11, 5, 11, 0, 9), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
562,"['abismarabi', 'in', datetime.datetime(2019, 11, 5, 10, 37, 51), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
563,"['caesariva', 'in', datetime.datetime(2019, 11, 5, 10, 32, 50), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Indonesia.']"
564,"['mrezafad', 'in', datetime.datetime(2019, 11, 5, 10, 26, 28), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
565,"['rarashoumi', 'in', datetime.datetime(2019, 11, 5, 10, 24, 6), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
566,"['Iyyan_Mer', 'in', datetime.datetime(2019, 11, 5, 10, 22, 5), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'DKI Jakarta, Indonesia']"
567,"['gydachandr', 'in', datetime.datetime(2019, 11, 5, 10, 11, 40), 0, '@mrtjakarta Min, mau tanya, jalur yang ke sawah besar udh ada belum ya? thanks', 'Indonesia']"
568,"['Ridwansuwandi', 'in', datetime.datetime(2019, 11, 5, 10, 4, 16), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Garut, Tangerang, Indonesia']"
569,"['belyobel', 'in', datetime.datetime(2019, 11, 5, 10, 1, 10), 0, '@rzfzzrr @Iduy101 @DKIJakarta @mrtjakarta Mana bisa sempak gue asset pemprov DKI', 'Indonesia']"
570,"['rzfzzrr', 'in', datetime.datetime(2019, 11, 5, 9, 58, 37), 0, '@belyobel @Iduy101 @DKIJakarta @mrtjakarta ya klo gw lucu terus lo ketawa nanti lu di mutasi ke daerah bel, emg lu gamau ketemu gw??', '']"
571,"['belyobel', 'in', datetime.datetime(2019, 11, 5, 9, 57, 58), 0, '@rzfzzrr @Iduy101 @DKIJakarta @mrtjakarta tumben lo kurang lucu ja, wkwkwkwk', 'Indonesia']"
572,"['rzfzzrr', 'in', datetime.datetime(2019, 11, 5, 9, 56, 3), 0, '@belyobel @Iduy101 @DKIJakarta @mrtjakarta gw julidlis ngomong gubernur ehehe', '']"
573,"['belyobel', 'in', datetime.datetime(2019, 11, 5, 9, 53, 26), 0, '@rzfzzrr @Iduy101 @DKIJakarta @mrtjakarta Lah mana gue tau lo jurnalis dan anker juga', 'Indonesia']"
574,"['rzfzzrr', 'in', datetime.datetime(2019, 11, 5, 9, 48, 50), 0, '@belyobel @Iduy101 @DKIJakarta @mrtjakarta kok lu gak cc ke gw bel?', '']"
575,"['jawarifah', 'in', datetime.datetime(2019, 11, 5, 9, 48, 35), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'Di. Hati ♥']"
576,"['_Bebatikan_', 'in', datetime.datetime(2019, 11, 5, 9, 48, 22), 0, '@PT_TransJakarta @mrtjakarta mati listrik di halte #Monas, dan langsung kelihatan deh aslinya cara kerja personil @PT_TransJakarta yang katanya #KiniLebihBaik itu #PerluTahu...wow banget ngga terucap kata-kata cc @DKIJakarta', 'Jakarta Barat - Jakarta Pusat']"
